sentence
आज मौसम बहुत अच्छा है।
क्या आप हिंदी बोलते हैं?
मुझे किताबें पढ़ना बहुत पसंद है।
दिल्ली भारत की राजधानी है।
मेरे परिवार में चार लोग हैं।
आपका नाम क्या है?
यह रेस्तरां बहुत मशहूर है।
बच्चे स्कूल में पढ़ रहे हैं।
मुझे चाय बहुत पसंद है।
भारत एक विशाल देश है।
वह बाज़ार से सब्ज़ियाँ लेने गई है।
कल हम पार्क में जाएँगे।
मैं हर रोज़ सुबह दौड़ने जाता हूँ।
उसने कहा कि वह आएगा।
हम सब मिलकर काम करेंगे।
आज बहुत गर्मी है।
मुझे पानी चाहिए।
वह एक अच्छा इंसान है।
क्या तुम मेरे दोस्त हो?
मैं घर जा रहा हूँ।
यह किताब बहुत अच्छी है।
उसे संगीत बहुत पसंद है।
हमारा देश बहुत सुंदर है।
वह रोज़ व्यायाम करती है।
मैं खाना खा रहा हूँ।
आज बाज़ार बंद है।
वह बहुत मेहनती लड़का है।
तुम्हारा घर कहाँ है?
मुझे हिंदी सीखना है।
आप कैसे हैं?
मेरा नाम राम है।
वह स्कूल जा रही है।
आज मेरी परीक्षा है।
हम दोनों साथ पढ़ते हैं।
उसकी माँ बहुत अच्छी हैं।
यह सड़क बहुत लंबी है।
मुझे नींद आ रही है।
वह हमेशा समय पर आता है।
बाहर बारिश हो रही है।
आज रात हम फिल्म देखेंगे।
